Case,Max Abs Diff (CUDA vs Pthreads),Mean Abs Diff (CUDA vs Pthreads),Max Abs Diff (CUDA vs OpenMP),Mean Abs Diff (CUDA vs OpenMP)
10000000_1000,2.9999999999752447e-06,4.638651098782737e-09,2.9999999999752447e-06,4.638651098782737e-09
1000000_1000,5.000000000032756e-06,1.3459870298916792e-08,5.000000000032756e-06,1.3459870298916792e-08
1000000_10000,5.000000000032756e-06,9.565396379790505e-08,5.000000000032756e-06,9.565396379790505e-08
100000_1000,5.000000000032756e-06,9.427635113289647e-08,5.000000000032756e-06,9.427635113289647e-08
100000_10000,5.000000000254801e-06,3.9638580921492313e-07,5.000000000254801e-06,3.9638580921492313e-07
100000_100000,5.000000000032756e-06,4.3134863633333694e-07,5.000000000032756e-06,4.3134863633333694e-07
10000_1000,5.000000000254801e-06,3.928934059092964e-07,5.000000000254801e-06,3.928934059092964e-07
10000_10000,5.000000000032756e-06,4.2047968691999334e-07,5.000000000032756e-06,4.2047968691999334e-07
10000_100000,5.000000000254801e-06,4.138009724140115e-07,5.000000000254801e-06,4.138009724140115e-07
10000_1000000,5.000000000032756e-06,5.192962934502281e-07,5.000000000032756e-06,5.192962934502281e-07
1000_1000,5.000000000032756e-06,4.3201474898752584e-07,5.000000000032756e-06,4.3201474898752584e-07
1000_10000,5.000000000254801e-06,4.429570600002857e-07,5.000000000254801e-06,4.429570600002857e-07
1000_100000,5.000000000032756e-06,5.377797600011817e-07,5.000000000032756e-06,5.377797600011817e-07
1000_1000000,5.000000000032756e-06,5.331909999996397e-07,5.000000000032756e-06,5.331909999996397e-07
1000_10000000,5.000000000032756e-06,3.9175300000119164e-07,5.000000000032756e-06,3.9175300000119164e-07
